Equipment,Wo Start Date,Wo Type Code,Code
E-8105B,1401/6/3,CM,C
E-8105D,1401/6/3,CM,C
E-8106E,1401/6/8,CM,C
E-8105C,1401/6/19,CM,N
E-8105C,1401/6/27,CM,C
E-8106E,1401/6/27,CM,C
E-8105A,1401/8/3,PM,A+C
E-8105B,1401/8/3,PM,A
E-8105C,1401/8/3,PM,A
E-8105D,1401/8/3,PM,A
E-8105E,1401/8/3,PM,A
E-8105F,1401/8/3,PM,A
E-8106A,1401/8/3,PM,A
E-8106B,1401/8/3,PM,A
E-8106C,1401/8/3,PM,A
E-8106D,1401/8/3,PM,A
E-8106E,1401/8/3,PM,A
E-8106F,1401/8/3,PM,A
E-8107A,1401/8/3,PM,A
E-8107B,1401/8/3,PM,A
E-8107A,1401/8/19,CM,G
E-8106E,1401/8/21,CM,M
E-8105F,1401/9/21,CM,H
E-8106F,1401/9/22,CM,G
E-8105B,1401/10/7,CM,H
E-8105B,1401/10/18,CM,M
E-8105A,1401/10/24,CM,C+G
E-8105A,1401/12/4,PM,B
E-8105B,1401/12/4,PM,B
E-8105C,1401/12/4,PM,B
E-8105D,1401/12/4,PM,B
E-8105E,1401/12/4,PM,B
E-8105F,1401/12/4,PM,B
E-8106A,1401/12/4,PM,B
E-8106B,1401/12/4,PM,B
E-8106C,1401/12/4,PM,B
E-8106D,1401/12/4,PM,B
E-8106E,1401/12/4,PM,B
E-8106F,1401/12/4,PM,B
E-8107A,1401/12/4,PM,B
E-8107B,1401/12/4,PM,B
E-8106D,1401/12/6,CM,G+D
E-8105D,1400/1/11,CM,F
E-8105A,1400/1/21,PM,B
E-8105B,1400/1/21,PM,B
E-8105C,1400/1/21,PM,B
E-8105D,1400/1/21,PM,B
E-8105E,1400/1/21,PM,B
E-8105F,1400/1/21,PM,B
E-8106A,1400/1/21,PM,B
E-8106B,1400/1/21,PM,B
E-8106C,1400/1/21,PM,B
E-8106D,1400/1/21,PM,B
E-8106E,1400/1/21,PM,B
E-8106F,1400/1/21,PM,B
E-8107A,1400/1/21,PM,B
E-8107B,1400/1/21,PM,B
E-8107B,1400/2/22,CM,C
E-8105F,1400/2/23,CM,C+E
E-8106E,1400/2/26,CM,C
E-8106A,1400/3/16,CM,C
E-8106E,1400/3/19,CM,C
E-8105A,1400/4/7,CM,C
