Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
146336,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011107,14011118,14011118,12
146035,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14011101,14011104,14011104,3
145802/2,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14011026,14011025,14011025,6
145802/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14011025,14011026,14011026,5
145802,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14011025,14011014,14011014,4
145451/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14011018,14011019,14011019,6
145451,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011018,14011019,14011019,35
145339/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011017,14010926,14011001,8
145339,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011014,14010825,14010830,12
145338,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011014,14010901,14010902,12
145336/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011017,14010828,14010909,144
145336,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011014,14010825,14010828,24
145334/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011017,14010926,14011001,120
145334,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011014,14010825,14010902,16
145332/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011017,14010914,14010921,120
145332,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14011014,14010914,14011014,12
145329/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14011014,14011014,14011014,6
145329,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14011013,14011014,14011014,30
145296,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14011013,14011014,14011014,4
145293,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14011013,14011013,14011013,1
145085/1,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14011013,14011013,14011014,5
145085,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14011010,14011013,14011013,4
145084/2,Comp_A,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14011013,14011013,14011019,13
145084/1,Comp_A,SAFETY VALVE,CRAFT,PREVENTIVE MAINTENANCE,14011011,14011012,14011012,7
145084,Comp_A,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14011010,14011013,14011013,4
145083/1,Comp_B,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14011109,14011027,14011029,10
145082/1,Comp_B,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14011028,14011021,14011024,8
145082,Comp_B,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14011010,14011026,14011026,4
144640/1,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010930,14010930,14010930,2
144640,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010929,14010930,14010930,4
144473/7/3,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020122,14020121,14020123,9
144473/7/2/1/1,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14011105,14011118,14011118,2
144473/7/2/1,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14011017,14011025,14011103,13
144473/7/1,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14010926,14010927,14010927,2
144473/7,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010926,14011011,14011012,48
144473,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010926,14010926,14011003,14
144437,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010924,14010924,14010924,3
